variant,strategy,pattern,severity,impact_score,line_number,co_occurring_patterns,source_lines,complexity_class,total_suggestions,score,pattern_frequency,line_proximity,severity_encoded,pat_constant_folding,pat_dead_code,pat_early_return,pat_expensive_calls,pat_hot_loop,pat_loop_invariant,pat_nested_loops,pat_repeated_computation,pat_string_concat_loop,pat_unused_vars,cplx_O(1),cplx_O(n),cplx_O(n²),var_base,var_large_input,var_medium_input,var_small_input,var_with_branch_noise,var_with_setup_noise,strategy_encoded
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,18,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,4
