strategy,pattern,severity,impact_score,loop_depth,is_inside_loop,relative_line_position,execution_count_at_line,avg_time_ms_at_line,line_dominance,function_call_count,max_recursion_depth,complexity_ordinal,pattern_frequency,severity_encoded,pat_constant_folding,pat_dead_code,pat_hot_loop,pat_loop_invariant,pat_nested_loops,pat_repeated_computation,pat_unused_vars
restructure_loop,unused_vars,low,3.0,0,0,0.4,1,0.001,0.055556,0,0,6,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.45,1,0.001,0.055556,0,0,6,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.5,1,0.001,0.055556,0,0,6,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3125,1,0.001,0.0625,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.375,1,0.001,0.0625,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.4375,1,0.001,0.0625,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.5,1,0.001,0.0625,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.5625,1,0.0,0.0625,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,constant_folding,low,2.0,0,0,0.9231,1,0.002,0.0625,0,0,6,0.11368015414258188,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
restructure_loop,unused_vars,low,3.0,0,0,0.4286,1,0.001,0.047619,0,0,6,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3333,1,0.001,0.047619,0,0,6,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
