execution_id,family,strategy,pattern,severity,impact_score,loop_depth,is_inside_loop,relative_line_position,co_occurring_patterns,execution_count_at_line,avg_time_ms_at_line,total_time_ms_at_line,line_dominance,function_call_count,max_recursion_depth,source_lines,complexity_class,complexity_ordinal,execution_time_ms,peak_memory_bytes,total_suggestions
d63263a4-0980-4217-83cc-e15db706251b,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5294,unused_vars,1,0.004,0.004,0.037037,0,0,17,O(n),3,0.139,3383,3
d63263a4-0980-4217-83cc-e15db706251b,loops,restructure_loop,unused_vars,low,3.0,0,False,0.2941,unused_vars,1,0.002,0.002,0.037037,0,0,17,O(n),3,0.139,3383,3
d63263a4-0980-4217-83cc-e15db706251b,loops,restructure_loop,unused_vars,low,3.0,0,False,0.4706,unused_vars,1,0.001,0.001,0.037037,0,0,17,O(n),3,0.139,3383,3
789114bd-1e94-4b58-98b3-8dbd7dc3a657,loops,restructure_loop,nested_loops,low,6.0,2,True,0.7826,nested_loops|unused_vars,0,0.0,0.0,0.0,0,0,23,O(n³),6,0.298,3575,3
789114bd-1e94-4b58-98b3-8dbd7dc3a657,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5652,nested_loops|unused_vars,1,0.0,0.0,0.018868,0,0,23,O(n³),6,0.298,3575,3
789114bd-1e94-4b58-98b3-8dbd7dc3a657,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5217,nested_loops|unused_vars,1,0.001,0.001,0.018868,0,0,23,O(n³),6,0.298,3575,3
ab62ebcc-67be-4a0b-9a26-f8b0556d5d21,loops,restructure_loop,unused_vars,low,3.0,0,False,0.05,unused_vars,0,0.0,0.0,0.0,0,0,20,O(n³),6,0.095,3488,4
ab62ebcc-67be-4a0b-9a26-f8b0556d5d21,loops,restructure_loop,unused_vars,low,3.0,0,False,0.4,unused_vars,1,0.001,0.001,0.055556,0,0,20,O(n³),6,0.095,3488,4
ab62ebcc-67be-4a0b-9a26-f8b0556d5d21,loops,restructure_loop,unused_vars,low,3.0,0,False,0.45,unused_vars,1,0.001,0.001,0.055556,0,0,20,O(n³),6,0.095,3488,4
ab62ebcc-67be-4a0b-9a26-f8b0556d5d21,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5,unused_vars,1,0.001,0.001,0.055556,0,0,20,O(n³),6,0.095,3488,4
a4d5abce-2eea-45c3-9406-512517e06d7d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3125,unused_vars,1,0.001,0.001,0.0625,0,0,16,O(n²),5,0.107,4002,5
a4d5abce-2eea-45c3-9406-512517e06d7d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.375,unused_vars,1,0.001,0.001,0.0625,0,0,16,O(n²),5,0.107,4002,5
a4d5abce-2eea-45c3-9406-512517e06d7d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.4375,unused_vars,1,0.001,0.001,0.0625,0,0,16,O(n²),5,0.107,4002,5
a4d5abce-2eea-45c3-9406-512517e06d7d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5,unused_vars,1,0.001,0.001,0.0625,0,0,16,O(n²),5,0.107,4002,5
a4d5abce-2eea-45c3-9406-512517e06d7d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5625,unused_vars,1,0.0,0.0,0.0625,0,0,16,O(n²),5,0.107,4002,5
a81a9899-efc5-4ed8-bb4b-6b7066fd9d52,loops,restructure_loop,constant_folding,low,2.0,0,False,0.9231,constant_folding,1,0.002,0.002,0.0625,0,0,13,O(n³),6,0.083,3244,1
c0e38e50-180b-4aee-85da-4c1e2fc388d6,loops,restructure_loop,unused_vars,low,3.0,0,False,0.4286,constant_folding|unused_vars,1,0.001,0.001,0.047619,0,0,21,O(n³),6,0.113,3535,6
c0e38e50-180b-4aee-85da-4c1e2fc388d6,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3333,constant_folding|unused_vars,1,0.001,0.001,0.047619,0,0,21,O(n³),6,0.113,3535,6
c0e38e50-180b-4aee-85da-4c1e2fc388d6,loops,restructure_loop,unused_vars,low,3.0,0,False,0.2857,constant_folding|unused_vars,1,0.001,0.001,0.047619,0,0,21,O(n³),6,0.113,3535,6
c0e38e50-180b-4aee-85da-4c1e2fc388d6,loops,restructure_loop,unused_vars,low,3.0,0,False,0.2381,constant_folding|unused_vars,1,0.002,0.002,0.047619,0,0,21,O(n³),6,0.113,3535,6
c0e38e50-180b-4aee-85da-4c1e2fc388d6,loops,restructure_loop,unused_vars,low,3.0,0,False,0.381,constant_folding|unused_vars,1,0.001,0.001,0.047619,0,0,21,O(n³),6,0.113,3535,6
